,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
1688,22,2,2,3,1,0,0,0,2011,55.908740456,7.268445379,21.937812016408753,42.508883294,504.69999999999993
1689,22,3,0,3,1,0,0,0,2011,18.94207885,9.250263039600002,23.5,37.81344836,410.82
1690,22,3,1,3,1,0,0,0,2011,13.773631446227348,7.268445379,25.922583636779123,42.508883294,504.69999999999993
1691,22,3,2,3,1,0,0,0,2011,13.773631446227348,7.268445379,22.17135702826748,42.508883294,504.69999999999993
1692,22,5,0,3,1,0,0,0,2011,22.606280396,9.250263039600002,27.46000409531857,37.81344836,410.82
1693,22,1,0,3,1,0,0,0,2011,24.95619125,9.250263039600002,18.9,37.81344836,410.82
1694,22,1,1,3,1,0,0,0,2011,23.223910126,7.268445379,24.18148107475072,42.508883294,504.69999999999993
1695,22,1,2,3,1,0,0,0,2011,23.223910126,7.268445379,18.4030935342681,42.508883294,504.69999999999993
1696,22,0,0,3,1,0,0,0,2012,25.50596214,8.28701028,27.566666666666666,39.49015837,862.6
1697,22,0,1,3,1,0,0,0,2012,22.641546464,9.2502630396,28.523268418131863,37.81344836,375.46000000000004
1698,22,0,2,3,1,0,0,0,2012,22.641546464,9.2502630396,18.03523332720463,37.81344836,375.46000000000004
1699,22,4,0,3,1,0,0,0,2012,11.196179206250001,9.2502630396,21.985305667831124,37.81344836,375.46000000000004
1700,22,4,1,3,1,0,0,0,2012,11.454996797235205,9.250263039599998,25.416958577953356,37.813448359999995,375.46
1701,22,4,2,3,1,0,0,0,2012,11.454996797235205,9.250263039599998,19.61323009764609,37.813448359999995,375.46
1702,22,2,0,3,1,0,0,0,2012,43.83865644,9.2502630396,23.379295654960842,37.81344836,375.46000000000004
1703,22,2,1,3,1,0,0,0,2012,46.305455352,9.250263039599998,25.918443205662548,37.813448359999995,375.46
1704,22,2,2,3,1,0,0,0,2012,46.305455352,9.250263039599998,20.11471472535528,37.813448359999995,375.46
1705,22,3,0,3,1,0,0,0,2012,16.11876278,9.2502630396,25.693907312128008,37.81344836,375.46000000000004
1706,22,3,1,3,1,0,0,0,2012,14.115251504068391,9.250263039599998,26.35974967804663,37.813448359999995,375.46
1707,22,3,2,3,1,0,0,0,2012,14.115251504068391,9.250263039599998,20.55602119773937,37.813448359999995,375.46
1708,22,5,0,3,1,0,0,0,2012,22.641546464000005,9.2502630396,27.46000409531857,37.81344836,375.46000000000004
1709,22,1,0,3,1,0,0,0,2012,25.3652434,9.2502630396,21.24985876353875,37.81344836,375.46000000000004
1710,22,1,1,3,1,0,0,0,2012,23.056026453999998,9.250263039599998,24.594523788510283,37.813448359999995,375.46
1711,22,1,2,3,1,0,0,0,2012,23.056026453999998,9.250263039599998,18.790795308203016,37.813448359999995,375.46
1712,22,0,0,3,1,0,0,0,2013,27.70725313,6.342064594,27.400000000000002,39.71961228,830.2
1713,22,0,1,3,1,0,0,0,2013,21.357811751999996,6.743758490599999,26.5,38.117794868000004,508.67999999999995
1714,22,0,2,3,1,0,0,0,2013,21.357811751999996,6.743758490599999,15.8,38.117794868000004,508.67999999999995
1715,22,4,0,3,1,0,0,0,2013,11.350633173,6.743758490599999,21.3,38.117794868000004,508.67999999999995
1716,22,4,1,3,1,0,0,0,2013,11.163382606402083,6.743758490599999,26.73768483219058,38.117794868,508.67999999999995
1717,22,4,2,3,1,0,0,0,2013,11.163382606402083,6.743758490599999,20.918067976159044,38.117794868,508.67999999999995
1718,22,2,0,3,1,0,0,0,2013,46.67241868,6.743758490599999,20.2,38.117794868000004,508.67999999999995
